[rank0 ~ rank127]
comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,469762048,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,16384,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,128,134217728,init,None,None,,None,None,None,1
